id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
16150261 1 21 10 15 15 3300456 1 5 3 1 3 2 1 7 9 5 1 2017 1533 "rio de janeiro" "belford roxo" NA NA 0 NA 0 NA
16150116 2 30 11 15 15 3550308 1 5 4 1 3 2 5 3 5 1 2 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16150447 1 43 11 15 15 5208707 1 8 4 3 4 3 1 6 2 4 2 2017 1552 goias goiania NA NA 0 NA 0 NA
16150307 2 21 11 15 15 2910800 1 1 5 3 3 3 2 3 4 7 1 2017 1529 bahia "feira de santana" NA NA 0 NA 0 NA
16150523 2 30 4 15 15 3301702 1 4 5 4 NA 3 3 4 1 4 1 2017 1533 "rio de janeiro" "duque de caxias" NA NA 0 NA 0 NA
16150314 1 27 13 15 15 3550308 1 8 2 2 3 1 2 7 15 1 1 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16151442 1 68 15 15 15 5215231 1 5 5 3 2 2 6 7 6 5 1 2017 1552 goias "novo gama" NA NA 0 NA 0 NA
16150929 1 19 9 15 15 4106902 1 6 3 3 1 2 1 4 16 1 2 2017 1541 parana curitiba NA NA 0 NA 0 NA
16151368 2 24 11 15 15 2504603 1 4 3 2 NA 2 2 4 6 1506 4 2017 1525 paraiba conde NA NA 0 NA 0 NA
16150091 1 36 10 15 15 2927408 1 8 5 4 3 3 6 3 8 5 1 2017 1529 bahia salvador NA NA 0 NA 0 NA
16150702 2 40 11 15 15 1501402 1 4 5 2 3 3 3 5 7 1 1 2017 1515 para belem NA NA 0 NA 0 NA
16150264 2 22 11 15 15 3525003 1 3 5 3 3 3 3 4 6 1506 1 2017 1535 "sao paulo" jandira NA NA 0 NA 0 NA
16150043 1 37 7 15 15 4314902 1 1 4 2 4 2 2 7 13 4 1 2017 1543 "rio grande do sul" "porto alegre" NA NA 0 NA 0 NA
16150114 2 22 11 15 15 4113700 1 3 3 3 3 3 3 3 3 5 1 2017 1541 parana londrina NA NA 0 NA 0 NA
16150696 1 34 11 15 15 5201405 1 3 3 2 3 3 3 2 3 5 1 2017 1552 goias "aparecida de goiania" NA NA 0 NA 0 NA
16150890 1 16 8 15 15 4208302 1 3 1 1 2 2 4 4 15 1 2 2017 1542 "santa catarina" itapema NA NA 0 NA 0 NA
16150162 1 23 14 15 15 5204805 1 7 5 2 3 2 1 5 16 1 1 2017 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
16150532 2 29 11 15 15 4314902 1 5 3 1 2 3 1 4 15 4 1 2017 1543 "rio grande do sul" "porto alegre" NA NA 0 NA 0 NA
16150524 2 40 11 15 15 2507507 1 5 5 3 3 2 2 4 12 3 1 2017 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
16150285 2 16 10 15 15 5002704 1 3 5 2 3 3 2 3 4 4 4 2017 1550 "mato grosso do sul" "campo grande" NA NA 0 NA 0 NA
16150810 2 32 9 15 15 5107602 1 5 5 1 1 3 3 7 9 4 2 2017 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
16150707 2 22 11 15 15 4106902 1 3 3 3 NA 3 6 3 2 5 1 2017 1541 parana curitiba NA NA 0 NA 0 NA
16150305 1 28 11 15 15 3170800 1 2 3 2 3 1 4 4 7 5 2 2017 1531 "minas gerais" "varzea da palma" NA NA 0 NA 0 NA
