id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
620 2 46 4 15 155201405 1 6 3 2 2 1 5 5 14 1 3 2012 1552 goias "aparecida de goiania" NA NA 0 NA 0 NA
1182 1 39 8 15 153520509 1 6 3 4 1 1 1 6 16 1 3 2012 1535 "sao paulo" indaiatuba NA NA 0 NA 0 NA
1086 1 52 3 15 154113700 1 1 2 3 2 1 1 2 15 5 5 2012 1541 parana londrina NA NA 0 NA 0 NA
928 2 30 11 15 152304400 1 NA 2 2 1 2 2 7 11 5 1 2012 1523 ceara fortaleza NA NA 0 NA 0 NA
1161 1 53 15 15 153136306 1 5 3 4 4 1 1 7 16 5 1 2012 1531 "minas gerais" "joao pinheiro" NA NA 0 NA 0 NA
665 2 20 10 15 151200401 1 2 2 2 3 3 3 7 7 5 1 2012 1512 acre "rio branco" NA NA 0 NA 0 NA
909 2 63 4 15 3515004 1 3 1 4 2 1 6 5 11 1 1 2012 1535 "sao paulo" NA NA NA 0 NA 0 NA
1306 2 28 17 15 153306305 1 5 3 3 4 2 1 3 16 1 2 2012 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
1078 2 27 11 15 155215231 1 4 3 2 3 2 1 2 16 1506 2 2012 1552 goias "novo gama" NA NA 0 NA 0 NA
946 2 28 11 15 153550308 1 7 2 4 1 3 1 4 16 1 3 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
23 1 71 4 15 152111300 1 8 3 1 1 3 6 6 14 5 1 2012 1521 maranhao "sao luis" NA NA 0 NA 0 NA
1236 2 63 10 15 151501402 1 NA 1 3 1 2 6 7 14 5 2 2012 1515 para belem NA NA 0 NA 0 NA
1322 2 27 9 15 153304557 1 4 3 2 1 2 1 2 7 5 3 2012 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 1 2011 1 1
1025 2 42 16 15 155204805 1 NA 3 4 1 2 2 6 NA 1 1 2012 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
1337 1 51 11 15 153520509 1 5 3 2 2 3 7 4 7 1 3 2012 1535 "sao paulo" indaiatuba NA NA 0 NA 0 NA
978 2 31 11 15 153550308 1 6 3 1 1 2 7 4 15 5 1 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
1383 1 30 10 15 153550308 1 5 2 2 1 3 1 5 15 1 1 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
1300 2 23 8 15 155212303 1 10 2 2 2 2 2 7 8 5 1 2012 1552 goias "leopoldo de bulhoes" NA NA 0 NA 0 NA
1315 1 24 10 15 15355030 1 9 2 2 1 2 3 7 16 4 1 2012 1535 "sao paulo" NA NA NA 0 NA 0 NA
944 2 33 10 15 153304557 1 NA 5 3 2 1 1 3 2 4 2 2012 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 1 2011 1 1
607 2 42 16 15 152507507 1 3 3 2 3 2 4 6 15 1 1 2012 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
1299 1 19 11 15 155204805 1 NA 2 3 3 1 2 6 16 1 2 2012 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
719 1 31 9 15 155300108 1 6 3 3 3 2 1 7 13 1 1 2012 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 1
1318 1 27 17 15 153306305 1 1 2 3 3 2 1 3 13 5 5 2012 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
1036 2 46 2 15 155208707 1 NA 5 3 3 3 2 6 9 5 4 2012 1552 goias goiania NA NA 0 NA 0 NA
1088 2 44 4 15 154215802 1 6 4 2 2 3 1 5 16 1 2 2012 1542 "santa catarina" "sao bento do sul" NA NA 0 NA 0 NA
605 1 52 15 15 152408102 1 5 2 3 2 2 1 7 16 1 1 2012 1524 "rio grande do norte" natal NA NA 0 NA 0 NA
1283 1 28 11 15 154314902 1 7 3 2 4 1 2 7 15 1 3 2012 1543 "rio grande do sul" "porto alegre" NA NA 0 NA 0 NA
612 2 40 11 15 155201405 1 5 3 2 2 3 1 7 16 5 2 2012 1552 goias "aparecida de goiania" NA NA 0 NA 0 NA
1295 2 18 11 15 155106208 1 7 2 2 2 2 1 6 13 5 1 2012 1551 "mato grosso" "nova brasilandia" NA NA 0 NA 0 NA
609 1 42 11 15 151302603 1 4 3 3 1 2 1 4 16 5 NA 2012 1513 amazonas manaus NA NA 0 NA 0 NA
1209 1 40 12 15 151302603 1 4 3 3 1 2 5 4 10 5 1 2012 1513 amazonas manaus NA NA 0 NA 0 NA
678 1 26 13 15 151501501 1 1 3 2 4 1 1 7 16 5 2 2012 1515 para NA NA NA 0 NA 0 NA
746 1 45 5 15 155106208 1 NA 2 3 2 2 1 6 16 5 1 2012 1551 "mato grosso" "nova brasilandia" NA NA 0 NA 0 NA
1105 2 21 11 15 152403251 1 1 3 3 2 3 1 7 6 1 2 2012 1524 "rio grande do norte" parnamirim NA NA 0 NA 0 NA
1159 1 44 10 15 153136306 1 7 1 2 2 1 6 7 16 1 1 2012 1531 "minas gerais" "joao pinheiro" NA NA 0 NA 0 NA
687 1 20 11 15 151501402 1 5 2 2 2 1 4 5 16 4 1 2012 1515 para belem NA NA 0 NA 0 NA
646 2 19 11 15 152611606 1 2 2 4 4 2 5 7 NA 1 4 2012 1526 pernambuco recife NA NA 0 NA 0 NA
671 2 47 6 15 151302603 1 4 3 3 2 2 1 4 8 5 NA 2012 1513 amazonas manaus NA NA 0 NA 0 NA
1060 1 39 11 15 154215802 1 1 3 1 2 2 1 7 13 1 2 2012 1542 "santa catarina" "sao bento do sul" NA NA 0 NA 0 NA
1144 1 59 17 15 153301702 1 5 5 4 NA 3 6 5 16 1 1 2012 1533 "rio de janeiro" "duque de caxias" NA NA 0 NA 0 NA
972 1 53 11 15 153106705 1 7 2 2 2 3 6 4 16 5 1 2012 1531 "minas gerais" betim NA NA 0 NA 0 NA
1051 1 24 11 15 155300108 1 7 4 2 1 1 2 6 11 1 1 2012 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 1
1273 2 21 13 15 154314100 1 10 1 2 2 2 1 7 16 1 1 2012 1543 "rio grande do sul" "passo fundo" NA NA 0 NA 0 NA
739 1 46 11 15 155103403 1 7 3 3 2 2 1 6 15 5 2 2012 1551 "mato grosso" cuiaba NA NA 0 NA 0 NA
686 2 20 11 15 151501402 1 1 1 4 1 1 3 4 7 5 1 2012 1515 para belem NA NA 0 NA 0 NA
683 1 41 17 15 151501402 1 NA 2 3 4 1 1 7 16 5 2 2012 1515 para belem NA NA 0 NA 0 NA
