id gender age edre country_id nationality area city_level area_city city_id sample_id urban_rural living_cluster political_stance presidential_approval_rating env_attitude china_attitude russia_attitude america_attitude pe_fina ocupoit ing4 cp13 fam_fina etid news_read smedia3n smedia3b year edu state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
3142 1 44 4 15 15 1504 1 1504 153301702 89 1 244 NA 5 1 4 4 4 3 9 7 4 1508 1 1 1 1 2023 12 1533 "rio de janeiro" "duque de caxias" 3301702 RJ 1 2020 1 3
3832 2 63 4 15 15 1504 1 1504 153304557 16 1 198 10 3 1 4 NA NA 3 NA 5 2 1506 5 1 1 1 2023 12 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 12
7737 1 42 4 15 15 1504 1 1504 153304557 16 1 198 1 2 2 4 4 4 2 NA 7 4 1503 5 1 NA NA 2023 12 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 12
744 1 58 1 15 15 1504 1 1504 153304557 16 1 186 6 3 1 3 4 NA 3 9 6 2 1502 1 1 NA NA 2023 3 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 12
8898 1 62 6 15 15 1504 2 1504 153304144 28 1 170 6 3 1 4 4 4 3 1 7 2 1514 5 1 1 3 2023 16 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
9756 1 16 1 15 15 1504 1 1504 153304557 16 1 186 7 2 2 4 4 4 1 NA 4 4 1504 1 1 5 NA 2023 3 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 12
525 1 33 4 15 15 1504 2 1504 153304144 28 1 170 5 3 1 3 4 3 2 NA 4 2 1509 1506 2 2 NA 2023 12 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
9259 1 30 4 15 15 1504 2 1504 153304144 28 1 160 3 3 1 2 3 3 3 5 5 3 1514 5 3 2 NA 2023 12 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
4294 2 29 6 15 15 1504 2 1504 153304144 28 1 170 9 5 1 4 4 2 3 NA 7 4 1502 4 2 1 3 2023 16 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
2438 2 26 6 15 15 1502 1 1502 152111300 17 1 111 6 2 1 2 2 2 2 5 7 4 1505 5 1 1 1 2023 16 1521 maranhao "sao luis" NA NA 0 NA 0 NA
8865 2 54 4 15 15 1502 1 1502 152111300 17 1 111 7 1 2 2 2 3 2 NA 3 4 1503 5 1 NA NA 2023 12 1521 maranhao "sao luis" NA NA 0 NA 0 NA
4947 NA 60 4 15 15 1502 1 1502 152111300 17 1 111 5 3 1 4 4 3 2 4 5 4 1506 5 1 NA NA 2023 12 1521 maranhao "sao luis" NA NA 0 NA 0 NA
6913 2 20 5 15 15 1502 2 1502 152105302 10 1 214 3 2 1 4 4 3 1 9 7 4 1503 1 1 1 2 2023 14 1521 maranhao imperatriz NA NA 0 NA 0 NA
2351 1 20 3 15 15 1502 2 1502 152105302 10 1 53 10 5 1 4 4 3 3 NA 7 4 1502 5 1 2 NA 2023 9 1521 maranhao imperatriz NA NA 0 NA 0 NA
2492 2 41 4 15 15 1502 2 1502 152105302 10 1 53 1 5 1 1 4 2 3 9 5 4 1504 4 2 5 NA 2023 12 1521 maranhao imperatriz NA NA 0 NA 0 NA
3907 1 36 4 15 15 1502 1 1502 152111300 17 1 111 1 3 1 4 4 4 2 NA 6 4 1510 5 3 2 NA 2023 12 1521 maranhao "sao luis" NA NA 0 NA 0 NA
1579 1 43 2 15 15 1502 2 1502 152105302 10 1 214 4 2 1 3 2 2 1 9 7 3 1506 5 2 2 NA 2023 6 1521 maranhao imperatriz NA NA 0 NA 0 NA
6486 2 32 5 15 15 1502 2 1502 152105302 10 1 53 5 5 1 2 4 3 3 NA 5 2 1507 5 2 2 NA 2023 14 1521 maranhao imperatriz NA NA 0 NA 0 NA
635 1 61 2 15 15 1502 2 1502 152105302 10 1 214 5 2 1 3 4 3 1 NA 5 4 1503 1506 2 NA NA 2023 6 1521 maranhao imperatriz NA NA 0 NA 0 NA
5522 1 57 4 15 15 1502 2 1502 152105302 10 1 53 7 3 1 2 NA 2 2 7 5 4 1508 5 1 NA NA 2023 12 1521 maranhao imperatriz NA NA 0 NA 0 NA
4925 1 34 4 15 15 1502 2 1502 152105302 10 1 53 9 5 1 3 4 2 3 NA 7 3 1503 5 2 2 NA 2023 12 1521 maranhao imperatriz NA NA 0 NA 0 NA
2988 1 26 6 15 15 1502 2 1502 152105302 10 1 214 9 5 1 3 3 2 3 NA 7 4 1503 5 1 1 2 2023 16 1521 maranhao imperatriz NA NA 0 NA 0 NA
